category,link,big_title,lecture_link,middle_titles,lecture_time,teacher_name,teacher_post,teacher_profile,related_words,category_id
ビジネススキル,https://schoo.jp/course/7887,全1回禅でひも解く「怒り」のしずめかた,['https://schoo.jp/class/10786'],['怒った自分を解放する'],['60min'],河口 智賢,禅僧／耕雲院副住職,"曹洞宗耕雲院副住職／曹洞宗観音寺住職／NPO法人ぐんないや-織syoku-理事長／株式会社つるエネルギー取締役
曹洞宗大本山永平寺にて修行。全日本仏教青年会理事・全国曹洞宗青年会副会長を歴任。地元、山梨県都留市にある曹洞宗耕雲院を拠点に国内外で活動する禅僧。""柔軟心""なマインドで禅ZENと多様性をテーマに活動するほか、子ども食堂の運営やオンライン坐禅会、食事を通した禅の食べ方教室、ヨガと禅のコラボレーションイベントなども開催している。
主演作品、映画『典座-TENZO-』（2019）が、第72回カンヌ国際映画祭（2019）批評家週間「特別招待部門」出品、マルセイユ国際映画祭観客賞、その他国際映画祭多数出品。映画発祥の地パリでの劇場公開に至る。","['コミュニケーション術', '行動習慣']",1
ビジネススキル,https://schoo.jp/course/7876,全1回結果を出す人のチームワーク術,['https://schoo.jp/class/10764'],['数字を追うのに疲れたあなたへ〜仕事のやりがいを取り戻すための処方箋〜'],['60min'],加藤 芳久,経営コンサルタント,"●「理念型育成®」を日本で初めて開発・体系化した人財育成の専門家。
株式会社ファイブベイ、取締役副社長兼CHO（チーフハピネスオフィサー）
情報経営イノベーション専門職大学客員教授。　
●大学卒業後、大手旅行会社、コンサルティング会社を経て現職。
これまで200社以上に対して人財育成の体系化・組織風土変革を支援してきた。顧客企業は、日本ハム、三井ホームなどの大手企業を中心に、米国発祥のステーキハウス・アウトバックから化学メーカーまで多岐にわたる。
●著書に『売上を追わずに結果を出すリーダーが見つけた20の法則』（かんき出版）
『お客さまの９割をリピーターにする33のしくみ』（KADOKAWA）がある。
千葉県千葉市生まれ。","['コミュニケーション術', 'ファシリテーション', 'マネジメント', 'リーダーシップ', '人材育成', '仕事術', 'チームビルディング', 'ビジョンマネジメント']",1
ビジネススキル,https://schoo.jp/course/7892,全1回頭がいい人に思わせるにはどうすればいいの,['https://schoo.jp/class/10800'],['頭がいい人と思わせる質問の仕方'],['30min'],安田 正,（株）パンネーションズ・コンサルティング・グループ代表取締役,"株式会社パンネーションズ・コンサルティング・グループ代表取締役
一般社団法人コミュニケーション・マイスター協会　代表理事
宮城県仙台市生まれ。高校時代から英語教育分野に関心を持ち、1986年外国語学部英語英文学科卒業。大学卒業を機に渡英。本格的にグローバルコミュニケーション教育の分野へと導かれる。帰国後、兼松パーソネル株式会社国際化事業部長を経て、1990年パンネーションズ・コンサルティング・グループを創業。代表取締役に就任。
現在は英語、ロジカル・コミュニケーション®、プレゼンテーション、対人対応コーチング、交渉などのビジネスコミュニケーションの領域で講師、コンサルタントとして活躍している。大手企業を中心に研修、コンサルティングを通して多くの役員との交流がある。東京大学、早稲田大学、京都大学、一橋大学などでも教鞭をとる。
主な著作としては
「英語は『インド式』で学べ！」（ダイヤモンド社）
「できる人は必ず持っている一流の気くばり力」（三笠書房）
シリーズ累計92万部を超えた「超一流の雑談力」（文響社）
などベストセラーを連続して世に送り出している。","['コミュニケーション術', '行動習慣']",1
ビジネススキル,https://schoo.jp/course/7893,全3回イラストでまなぶ 会計・財務のきほん,"['https://schoo.jp/class/10801', 'https://schoo.jp/class/10843']","['貸借対照表をブタの貯金箱で読み解く', '損益計算書を風船で表現する']",['60min'],松本 めぐみ,Star Compass(株)代表／松本興産(株)取締役,"Star Compass株式会社 代表取締役。
松本興産株式会社 取締役。
米半導体装置メーカー退職後、スイスへMBA留学。2015年より松本興産の経理部門を統括、風船会計メソッドを考案。風船会計セミナーは現在まで参加者1,000名以上、教育現場や大企業でも導入され注目を集めている。
著書「風船会計メソッド」はAmazon経理・アカウント部門ベストセラー。
2022年Forbes Japan Women Award受賞。
2022年情報経営イノベーション専門職大学 客員教授拝命。
2023年 8 月  Pivot公式YouTubeチャンネル出演、国山ハセンさんへ風船会計メソッドをレクチャー。","['ビジネス教養', '経理', '会計・財務']",1
ビジネススキル,https://schoo.jp/course/7873,全1回『うまく言葉にできない』がなくなる言語化力,['https://schoo.jp/class/10763'],['『うまく言葉にできない』がなくなる言語化力'],['60min'],山口 拓朗,伝える力[話す・書く]研究所／山口拓朗ライティングサロン主宰,出版社で編集者・記者を務めたのちに独立。27年間で3700件以上の取材・執筆歴を誇る。現在は執筆活動に加え、講演や研修を通じて「好意と信頼を獲得する伝え方の技術」や「伝わる文章の書き方」等の実践的ノウハウを提供。アクティブフォロワー数400万人の中国企業「行動派」に招聘され、北京ほか6都市で「Super Writer養成講座」も定期開催中。著書に『伝わる文章が「速く」「思い通り」に書ける 87の法則』（明日香出版社）『9割捨てて10倍伝わる「要約力」』『1%の本質を最速でつかむ「理解力」』（共に日本実業出版社）『マネするだけで「文章がうまい」と思われる言葉を1冊にまとめてみた。』（すばる舎）ほか25冊以上。 伝え方の本質をとらえたノウハウは言語の壁を超えて高く評価されており、中国、台湾、韓国など海外でも翻訳されている。,"['印象づくり', '思考法', '交渉術']",1
ビジネススキル,https://schoo.jp/course/7862,全1回「言われっぱなし」を卒業する,['https://schoo.jp/class/10730'],['心を守る言い返し方・声のつくり方'],['60min'],司 拓也,ボイスメンタルトレーナー,話す声のボイストレーナー、メンタルトレーナーとしての活動歴は15年。声や話し方の改善を通じてメンタルの悩みを解決する独自の「ポーカーボイス&トークメソッド」を開発。パワハラやモラハラほか職場での人間関係に起因するストレスに対処するセミナーを開催。攻撃的な言葉や行動から自分自身を守り、適切に対応する方法を指導。心理的レジリエンス構築の支援をしています。これまでに5000人以上の参加者に影響を与え、そのコミュニケーションスキルと自己肯定感の向上に貢献。著書：『自分を守るためにちょっとだけ言い返せるようになる本』（ぱる出版）『繊細すぎる人のための自分を守る声の出し方』（朝日新聞出版）ほか累計16万部,"['コミュニケーション術', 'メンタルヘルス']",1
ビジネススキル,https://schoo.jp/course/7878,全1回元気になれる「週末ひとり時間」の過ごし方,['https://schoo.jp/class/10769'],['週末は「がんばる自分」を緩める'],['60min'],池田 千恵,(株)朝6時代表 早起きトレーナー/キャリアコンサルタント,"株式会社 朝6時代表。早起きトレーナー／国家資格キャリアコンサルタント。外食ベンチャー、外資系戦略コンサルティング会社を経て、2009年に『「朝4時起き」で、すべてがうまく回りだす！』（マガジンハウス）を刊行。ベストセラーとなり、「朝活の第一人者」と呼ばれるようになる。夜型→朝型への実体験と、多くの人に早起き習慣化を指導した実績をもとに、2010年より朝専用手帳『朝活手帳』をプロデュース。13年連続で発売する人気手帳となる。「朝１時間」の業務改革による生産性向上の手法を企業に指導しているほか、個人に向けては、今のままの働き方で良いのか迷うキャリアの踊り場期に、朝時間でなりたい自分を言語化し、行動するコミュニティ「朝キャリ（R）」（https://ikedachie.com/course/salon/）を主宰。2022年11月現在6歳の子供を育てるワーキングマザー。

Twitter, Instagram @ikedachie","['モチベーション', '時間術', '行動習慣']",1
ビジネススキル,https://schoo.jp/course/7875,全1回神雑談力,['https://schoo.jp/class/10765'],['部下の心をつかむ上司になる'],['60min'],中北 朋宏,株式会社 俺  代表取締役社長,"浅井企画に所属し、お笑い芸人として6年間活動する。その後、人事系コンサルティング会社に入社し、内定者育成から管理職育成まで幅広くソリューション企画提案に携わる。入社3年でナンバーワンとなる。その後、インバウンド系事業のスタートアップにて人事責任者となり、「制度設計」「採用」などを担当。2018年2月9日に株式会社 俺を設立。“夢諦めたけど人生諦めていない人のために”をコンセプトに、お笑い芸人からの転職支援「芸人ネクスト」や笑いの力で組織を変える「コメディケーション」を展開中。コメディケーションは約260社に提供。今まで受講者は2万6000名を超える。
著書に『おもしろい人が無意識にしている 神雑談力』（東洋経済新報社）『「ウケる」は最強のビジネススキルである。』『コンプレックスは営業の最高の武器である。』（いずれも日本経済新聞出版）がある。","['コミュニケーション術', 'ビジネスマナー', '仕事術', '印象づくり', '課題解決力', 'ビジネス基礎力']",1
ビジネススキル,https://schoo.jp/course/7866,全1回あがり症には悩まなくていい,['https://schoo.jp/class/10722'],['伝えたいことに集中するマインド'],['60min'],神宮 つかさ,東京コミュ塾代表｜ファシリテーションコーチ,4年半の英国駐在中、欧州本社のサプライチェーンマネージャーとしてアジアから欧州全土への輸入販売の責任者となりました。この時のメンバーはそれぞれが個性の強い欧州人。彼らの意見を纏めたり、本社の意向をメンバーに分かりやすく説明するのは至難の業でした。この経験の中で培ったのがファシリテーションスキルです。もちろん初めは上手くいかず、会議は炎上するはプレゼンは途中で遮られるは困難の連続でした。日本風の「和をもって尊しとなす」という考えは世界では通用しませんでした。そこからコミュニケーションスキルを磨くべく会議では毎回ファシリテーター役を担い、プレゼンの機会は逃さず挑戦しました。そうすることで少しずつコツを掴み、全員が納得出来るような分かりやすい話し方や会議を纏めるファシリテーション技術を身に付けることが出来ました。講座では経験の中で培った「実践ですぐに使える！」技術を体系的にお伝えします。世界に通用するコミュニケーションスキルを身につけましょう！,"['コミュニケーション術', '仕事術', '印象づくり', '交渉術']",1
ビジネススキル,https://schoo.jp/course/7830,全1回いまさら聞けない 心理的安全性のつくりかた,['https://schoo.jp/class/10662'],['意見が飛び交うチームになるための一歩'],['60min'],流 拓巳,株式会社ガイアックス/管理本部長,山口県出身。立教大学経営学部2017年卒。新卒で入社した株式会社ガイアックスで人事総務部長を務めつつ、複数のスタートアップやコミュニティでHRや新規事業立ち上げを担当。全ての人の才能が最大限発揮される社会を目指し、人々の働き方や人生選択の自由度を高めるにはどうすればよいのかを日々模索して活動中。,"['コミュニケーション術', 'マネジメント', 'ビジネス基礎力']",1
ビジネススキル,https://schoo.jp/course/7833,全5回岸正龍の ”心と行動”をトレースしようよ,"['https://schoo.jp/class/10669', 'https://schoo.jp/class/10766', 'https://schoo.jp/class/10768', 'https://schoo.jp/class/10840', 'https://schoo.jp/class/10841']","['【心理的成功テクニック】展示会など不特定多数の人が来る場所', '業界交流会の体験レポ 〜うまく立ち回る秘訣', '成果を手繰り寄せる目標設定してみる', '岸正龍の心と行動をトレースしようよ', '岸正龍の心と行動をトレースしようよ']","['45min', '45min', '45min']",岸 正龍,一般社団法人日本マインドリーディング協会理事,"上智大学経済学部卒、多摩美術大学芸術学部除籍。大学卒業を前に萩本欽一さんの事務所で芸人になるが、お笑いが「人の心理」や「言葉」に大きく左右されることに魅せられコピーライターに転身。「人の心を動かす言葉」を深めたあと32歳でオープンした7坪の眼鏡店が年商５億円を突破するとテレビや新聞などマスコミ取材が殺到。1,500社が集うマーケティング団体で年間最優秀賞を受賞した。ところが目の前に、安さが武器の大型店がオープンして売上げ半減。「心理学は役に立たないのか」との絶望の中、無意識に介入する知見に巡り合いV字回復。近年は実業のかたわら、自身を助けてくれたこの心理学を本や講演やラジオなどを通して伝え、多くの成功例を生んでいる。『禁断の心理話術エニアプロファイル』(フォレスト出版)や『人生を変える心理スキル99』（きこ書房）など著作多数。","['コミュニケーション術', '心理学', '行動習慣']",1
ビジネススキル,https://schoo.jp/course/7832,全1回ハーバードで学んだ私たちの心理的安全性,['https://schoo.jp/class/10668'],['ハーバードで学んだ私たちの心理的安全性'],['40min'],荒井 弥栄,株式会社オフィスグレース代表取締役,エグゼクティブトレーナー/中小企業顧問/中小企業コンサルタント/大学英語講師/行動経済学学会会員　日本人女性初のハーバードビジネススクール行動経済学クラス修了者。日本航空国際線CAから大学進学塾英語講師を経て、校長へ。その後、オフィスグレース起業。47歳で大学院に入学しMBA修得後、アメリカに渡りケロッグ経営大学院EDP、同大学院Negotiationコース修了。　ビジネスの成功の基本であるブランディング・マーケティング・行動経済学の3本の柱の重要点を合わせた独自の講座「ビジネスコーディア学®」を創出し、多くの受講者に成功をもたらしている。英会話関連著書8冊。週刊朝日や東洋経済、TOEIC運営法人IIBC等、多数の連載と研修、セミナー・講演実績あり。,"['コミュニケーション術', '仕事術']",1
ビジネススキル,https://schoo.jp/course/7819,全1回すぐやる私に変わりたい,['https://schoo.jp/class/10637'],['すぐやる人の仕事の仕組み'],['60min'],石川 和男,9つの仕事をこなす『時間管理の専門家』,"建設会社総務経理担当部長を本業に、税理士、大学客員研究員、ビジネス書著者（累計28冊）、人材開発支援会社役員ＣＯＯ、一般社団法人　国際キャリア教育協会理事、時間管理コンサルタント、セミナー講師、オンラインサロン石川塾主宰（受講者数２５０名）と、９つの肩書で複数の仕事を同時にこなす時間管理の専門家。

しかし、元々はダメダメなサラリーマン。
夜間の定時制大学に何とかもぐりこみ、しかも留年して卒業。
社会人になってからは、連日深夜11時まで残業するのが当たり前の生活。
そこで一念発起し、年100冊のペースでビジネス書を読み漁り、ビジネスセミナーに参加し、いいと思ったコンテンツやノウハウはノートに書きとめ、実践し、習慣化することで生産性を下げず残業を減らす仕事術を確立。
自ら習得した「時間管理術」をベースに、建設会社ではプレイングマネジャー、コンサルでは時間管理をアドバイスし、税理士業務では多くの経営者と仕事をし、セミナーでは「生産性向上」や「残業ゼロ」の講師をすることで、残業しないための研究を日々続けている。

「時間管理」や「勉強法」「会計」に関する書籍も２８冊執筆しており、誰もが働きやすくなるノウハウを分かりやすい言葉で伝える著書は、全国のビジネスパーソンに好評で発売数日で重版となっている。","['仕事術', '業務効率化', 'ビジネス基礎力']",1
ビジネススキル,https://schoo.jp/course/7854,全6回DJ Nobbyの勇気が出るお金のリテラシー,"['https://schoo.jp/class/10714', 'https://schoo.jp/class/10746', 'https://schoo.jp/class/10747', 'https://schoo.jp/class/10791', 'https://schoo.jp/class/10866', 'https://schoo.jp/class/10867']","['NISAとかiDeCo、やった方がいい人やらない方がいい人', '投資信託の選び方〜日経平均ってなんだ？', 'ビジネスパーソンだからこそ知っておこう！社会保険と税金の話', 'あなたの住宅ローンは大丈夫？金利の決まり方を知っておこう！', '「マイナス金利」解除で利息は上がるの？日本の金融政策を知ろう', '円安はもう終わるの？為替と金利の関係を理解して影響を知ろう']","['60min', '50min', '50min']",DJ Nobby,ラジオパーソナリティ・経済キャスター,"キャリア26年目のラジオパーソナリティ。外資系を中心に銀行、証券、保険の3分野での勤務経験を活かした経済ニュースの発信を行っています。
Voicyでフォロワー約10万人のチャンネル「きのうの経済を毎朝5分で！」のパーソナリティを務めています。","['その他お金', '投資', '税金', '資産運用', 'ビジネス基礎力']",1
ビジネススキル,https://schoo.jp/course/7853,全1回心が動き出す朝の手帳術,['https://schoo.jp/class/10713'],['Wantで始めるじぶん時間'],['60min'],池田 千恵,(株)朝6時代表 早起きトレーナー/キャリアコンサルタント,"株式会社 朝6時代表。早起きトレーナー／国家資格キャリアコンサルタント。外食ベンチャー、外資系戦略コンサルティング会社を経て、2009年に『「朝4時起き」で、すべてがうまく回りだす！』（マガジンハウス）を刊行。ベストセラーとなり、「朝活の第一人者」と呼ばれるようになる。夜型→朝型への実体験と、多くの人に早起き習慣化を指導した実績をもとに、2010年より朝専用手帳『朝活手帳』をプロデュース。13年連続で発売する人気手帳となる。「朝１時間」の業務改革による生産性向上の手法を企業に指導しているほか、個人に向けては、今のままの働き方で良いのか迷うキャリアの踊り場期に、朝時間でなりたい自分を言語化し、行動するコミュニティ「朝キャリ（R）」（https://ikedachie.com/course/salon/）を主宰。2022年11月現在6歳の子供を育てるワーキングマザー。

Twitter, Instagram @ikedachie","['モチベーション', '仕事術', '思考法', '時間術', '行動習慣']",1
ビジネススキル,https://schoo.jp/course/7827,全1回原因が分かればミスは防げる,['https://schoo.jp/class/10656'],['原因が分かればミスは防げる'],['60min'],マナビジネス しゅう,YouTuber／外資系コンサルタント,大阪府出身。ITソフトウェア企業に入社後、プロジェクト管理業務に従事。経済産業省プロジェクトマネージャ試験、国際資格PMP(Project Management Professional)などを取得。プロジェクトマネジメントの専門家として 大手メーカーのプロジェクトマネジメント業務に携わる。その後外資系コンサルティングファームに転職しIT・会計を中心とした経営コンサルタントとして従事。副業ではプレゼンテーション・思考法の専門家として、コンサル・セミナー・執筆などで活動。YouTubeチャンネル『マナビジネス』では「学び」＋「ビジネス」をテーマに仕事の現場で使える仕事術についての情報を発信している。【YouTube】https://www.youtube.com/c/manabusiness,"['仕事術', '業務効率化', 'ビジネス基礎力']",1
ビジネススキル,https://schoo.jp/course/7821,全1回今日から実践 - 清潔感をゲットしよう,['https://schoo.jp/class/10639'],['周りがケアしている好印象のポイント'],['60min'],福本 沙夜香,メンズコスメブランド MULC（ムルク） 商品開発担当,1995年生まれ。美容専門学校卒業後はメンズスキンケアブランドの販売員として、百貨店での接客業務に5年間従事。2021年株式会社アルファブルに入社後は、MULC（ムルク）の商品開発を担当。前職での経験を元に男性のコンプレックスを解消するメンズコスメの開発に取り組んでいる。,"['ビジネスマナー', '印象づくり', '美容']",1
ビジネススキル,https://schoo.jp/course/7823,全1回要約の余地,['https://schoo.jp/class/10645'],['「忙しい」から抜け出すための要約力強化トレーニング'],['60min'],山口 拓朗,伝える力[話す・書く]研究所／山口拓朗ライティングサロン主宰,出版社で編集者・記者を務めたのちに独立。27年間で3700件以上の取材・執筆歴を誇る。現在は執筆活動に加え、講演や研修を通じて「好意と信頼を獲得する伝え方の技術」や「伝わる文章の書き方」等の実践的ノウハウを提供。アクティブフォロワー数400万人の中国企業「行動派」に招聘され、北京ほか6都市で「Super Writer養成講座」も定期開催中。著書に『伝わる文章が「速く」「思い通り」に書ける 87の法則』（明日香出版社）『9割捨てて10倍伝わる「要約力」』『1%の本質を最速でつかむ「理解力」』（共に日本実業出版社）『マネするだけで「文章がうまい」と思われる言葉を1冊にまとめてみた。』（すばる舎）ほか25冊以上。 伝え方の本質をとらえたノウハウは言語の壁を超えて高く評価されており、中国、台湾、韓国など海外でも翻訳されている。,"['仕事術', '情報活用', '行動習慣', 'ビジネスフレームワーク', '業務効率化', '課題解決力', 'ビジネス教養', 'ビジネス基礎力']",1
ビジネススキル,https://schoo.jp/course/7787,全9回1年目に知っておきたかったパワポのお作法,"['https://schoo.jp/class/10567', 'https://schoo.jp/class/10584', 'https://schoo.jp/class/10585', 'https://schoo.jp/class/10586', 'https://schoo.jp/class/10587', 'https://schoo.jp/class/10588', 'https://schoo.jp/class/10589', 'https://schoo.jp/class/10590', 'https://schoo.jp/class/10591']","['なぜ、私たちはPowerPoint資料を作るのか', '論点思考で考える「問い」から始める資料作成', 'WordでつくるPowerPoint資料構成作りのポイント', '意外と知らないビジネスPowerPoint資料のお作法', 'ロジックで考える 一目で伝わる図解の作り方', 'おしゃれは要らない ビジネス資料の情報デザイン', '組織のパフォーマンスを高める PowerPointスライドマスターの極意', '完成形から逆算する PowerPoint効率化のテクニック', 'PowerPointとExcelでできる データビジュアライゼーション入門']","['60min', '60min', '60min']",豊間根 青地,シリョサク株式会社 代表取締役,1994年東京都生まれ。東京大学工学部卒。サントリーで通販事業のCRM・広告などを担当する傍ら、趣味のPowerPointで作成したスライドがTwitterで反響を呼び、11万人以上のフォロワーを集める。「くだらないけど、ためになる」をモットーに、スライド作成に役立つノウハウや、クスっと笑えるネタ画像を各種SNSで発信している。2022年に独立し、「資料をもっとおもしろく。」を目指すクリエイティブカンパニー「シリョサク株式会社（旧：株式会社Cataca）」を創業。著書に『秒で伝わるパワポ術』『秒で使えるパワポ術』（KADOKAWA）https://shiryosaku.co.jp/,"['PowerPoint', '資料作成', 'ビジネス基礎力']",1
ビジネススキル,https://schoo.jp/course/7790,全3回組織のDX・イノベーションに立ちはだかる壁の見つけ方 ‐ 勇者物語風,"['https://schoo.jp/class/10571', 'https://schoo.jp/class/10572', 'https://schoo.jp/class/10573']","['ルール（組織のしがらみ）がイノベーションの壁', 'チーム／組織の体制が壁', 'イノベーターが乗り越えなければならない壁']","['50min', '50min', '50min']",石川 優太朗,組織で起こすイノベーションの専門家,1988年生まれ。IT会社２社を経験し、要件定義からテストまでの一連に携わる。マネジメントに強み。その後、アクセンチュアに転職し、31歳にマネージャー（課長）に昇格、官公庁を中心にDXを推進する。2021年に大手保険会社に転職し、イノベーションを起こすための事務局として組織作りやサービスをブラッシュアップさせるデザイン思考、案件評価などを実施。「組織（マネジメント）」×「DX」×「イノベーション」が専門分野。,"['イノベーション', '新規事業', '経営', '組織運営', '課題解決力', 'DX基礎', 'DXプランニング']",1
